row	column	probe	cell_line	rep	probe_n
1	1				
1	2				
1	3				
1	4				
1	5				
1	6				
1	7				
1	8				
1	9				
1	10				
1	11				
1	12				
1	13				
1	14				
1	15				
1	16				
1	17				
1	18				
1	19				
1	20				
1	21				
1	22				
1	23				
1	24				
2	1				
2	2				
2	3				
2	4				
2	5				
2	6				
2	7				
2	8				
2	9				
2	10				
2	11				
2	12				
2	13				
2	14				
2	15				
2	16				
2	17				
2	18				
2	19				
2	20				
2	21				
2	22				
2	23				
2	24				
3	1				
3	2				
3	3	PB1	T47D	A	1
3	4	PB1	T47D	B	1
3	5	PB1	T47D	C	1
3	6	PC1	T47D	A	1
3	7	PC1	T47D	B	1
3	8	PC1	T47D	C	1
3	9				
3	10				
3	11				
3	12				
3	13				
3	14				
3	15	PB1	AN3	A	1
3	16	PB1	AN3	B	1
3	17	PB1	AN3	C	1
3	18	PC1	AN3	A	1
3	19	PC1	AN3	B	1
3	20	PC1	AN3	C	1
3	21				
3	22				
3	23				
3	24				
4	1				
4	2				
4	3	PB2	T47D	A	1
4	4	PB2	T47D	B	1
4	5	PB2	T47D	C	1
4	6	PC2	T47D	A	1
4	7	PC2	T47D	B	1
4	8	PC2	T47D	C	1
4	9				
4	10				
4	11				
4	12				
4	13				
4	14				
4	15	PB2	AN3	A	1
4	16	PB2	AN3	B	1
4	17	PB2	AN3	C	1
4	18	PC2	AN3	A	1
4	19	PC2	AN3	B	1
4	20	PC2	AN3	C	1
4	21				
4	22				
4	23				
4	24				
5	1				
5	2				
5	3	PB3	T47D	A	1
5	4	PB3	T47D	B	1
5	5	PB3	T47D	C	1
5	6	PC3	T47D	A	1
5	7	PC3	T47D	B	1
5	8	PC3	T47D	C	1
5	9				
5	10				
5	11				
5	12				
5	13				
5	14				
5	15	PB3	AN3	A	1
5	16	PB3	AN3	B	1
5	17	PB3	AN3	C	1
5	18	PC3	AN3	A	1
5	19	PC3	AN3	B	1
5	20	PC3	AN3	C	1
5	21				
5	22				
5	23				
5	24				
6	1				
6	2				
6	3	PB4	T47D	A	1
6	4	PB4	T47D	B	1
6	5	PB4	T47D	C	1
6	6	PC4	T47D	A	1
6	7	PC4	T47D	B	1
6	8	PC4	T47D	C	1
6	9				
6	10				
6	11				
6	12				
6	13				
6	14				
6	15	PB4	AN3	A	1
6	16	PB4	AN3	B	1
6	17	PB4	AN3	C	1
6	18	PC4	AN3	A	1
6	19	PC4	AN3	B	1
6	20	PC4	AN3	C	1
6	21				
6	22				
6	23				
6	24				
7	1				
7	2				
7	3	PB1 PB4	T47D	A	2
7	4	PB1 PB4	T47D	B	2
7	5	PB1 PB4	T47D	C	2
7	6	PC1 PC4	T47D	A	2
7	7	PC1 PC4	T47D	B	2
7	8	PC1 PC4	T47D	C	2
7	9				
7	10				
7	11				
7	12				
7	13				
7	14				
7	15	PB1 PB4	AN3	A	2
7	16	PB1 PB4	AN3	B	2
7	17	PB1 PB4	AN3	C	2
7	18	PC1 PC4	AN3	A	2
7	19	PC1 PC4	AN3	B	2
7	20	PC1 PC4	AN3	C	2
7	21				
7	22				
7	23				
7	24				
8	1				
8	2				
8	3	PB2 PB3	T47D	A	2
8	4	PB2 PB3	T47D	B	2
8	5	PB2 PB3	T47D	C	2
8	6	PC2 PC3	T47D	A	2
8	7	PC2 PC3	T47D	B	2
8	8	PC2 PC3	T47D	C	2
8	9				
8	10				
8	11				
8	12				
8	13				
8	14				
8	15	PB2 PB3	AN3	A	2
8	16	PB2 PB3	AN3	B	2
8	17	PB2 PB3	AN3	C	2
8	18	PC2 PC3	AN3	A	2
8	19	PC2 PC3	AN3	B	2
8	20	PC2 PC3	AN3	C	2
8	21				
8	22				
8	23				
8	24				
9	1				
9	2				
9	3	PB1 PB3 PB4	T47D	A	3
9	4	PB1 PB3 PB4	T47D	B	3
9	5	PB1 PB3 PB4	T47D	C	3
9	6	PC1 PC3 PC4	T47D	A	3
9	7	PC1 PC3 PC4	T47D	B	3
9	8	PC1 PC3 PC4	T47D	C	3
9	9				
9	10				
9	11				
9	12				
9	13				
9	14				
9	15	PB1 PB3 PB4	AN3	A	3
9	16	PB1 PB3 PB4	AN3	B	3
9	17	PB1 PB3 PB4	AN3	C	3
9	18	PC1 PC3 PC4	AN3	A	3
9	19	PC1 PC3 PC4	AN3	B	3
9	20	PC1 PC3 PC4	AN3	C	3
9	21				
9	22				
9	23				
9	24				
10	1				
10	2				
10	3	PB2 PB3 PB4	T47D	A	3
10	4	PB2 PB3 PB4	T47D	B	3
10	5	PB2 PB3 PB4	T47D	C	3
10	6	PC2 PC3 PC4	T47D	A	3
10	7	PC2 PC3 PC4	T47D	B	3
10	8	PC2 PC3 PC4	T47D	C	3
10	9				3
10	10				
10	11				
10	12				
10	13				
10	14				
10	15	PB2 PB3 PB4	AN3	A	3
10	16	PB2 PB3 PB4	AN3	B	3
10	17	PB2 PB3 PB4	AN3	C	3
10	18	PC2 PC3 PC4	AN3	A	3
10	19	PC2 PC3 PC4	AN3	B	3
10	20	PC2 PC3 PC4	AN3	C	3
10	21				
10	22				
10	23				
10	24				
11	1				
11	2				
11	3	PB All	T47D	A	4
11	4	PB All	T47D	B	4
11	5	PB All	T47D	C	4
11	6	PC All	T47D	A	4
11	7	PC All	T47D	B	4
11	8	PC All	T47D	C	4
11	9				4
11	10				
11	11				
11	12				
11	13				
11	14				
11	15	PB All	AN3	A	4
11	16	PB All	AN3	B	4
11	17	PB All	AN3	C	4
11	18	PC All	AN3	A	4
11	19	PC All	AN3	B	4
11	20	PC All	AN3	C	4
11	21				
11	22				
11	23				
11	24				
12	1				
12	2				
12	3	None	T47D	A	0
12	4	None	T47D	B	0
12	5	None	T47D	C	0
12	6	None	T47D	A	0
12	7	None	T47D	B	0
12	8	None	T47D	C	0
12	9				
12	10				
12	11				
12	12				
12	13				
12	14				
12	15	None	AN3	A	0
12	16	None	AN3	B	0
12	17	None	AN3	C	0
12	18	None	AN3	A	0
12	19	None	AN3	B	0
12	20	None	AN3	C	0
12	21				
12	22				
12	23				
12	24				
13	1				
13	2				
13	3				
13	4				
13	5				
13	6				
13	7				
13	8				
13	9				
13	10				
13	11				
13	12				
13	13				
13	14				
13	15				
13	16				
13	17				
13	18				
13	19				
13	20				
13	21				
13	22				
13	23				
13	24				
14	1				
14	2				
14	3				
14	4				
14	5				
14	6				
14	7				
14	8				
14	9				
14	10				
14	11				
14	12				
14	13				
14	14				
14	15				
14	16				
14	17				
14	18				
14	19				
14	20				
14	21				
14	22				
14	23				
14	24				
15	1				
15	2				
15	3				
15	4				
15	5				
15	6				
15	7				
15	8				
15	9				
15	10				
15	11				
15	12				
15	13				
15	14				
15	15				
15	16				
15	17				
15	18				
15	19				
15	20				
15	21				
15	22				
15	23				
15	24				
16	1				
16	2				
16	3				
16	4				
16	5				
16	6				
16	7				
16	8				
16	9				
16	10				
16	11				
16	12				
16	13				
16	14				
16	15				
16	16				
16	17				
16	18				
16	19				
16	20				
16	21				
16	22				
16	23				
16	24				
