Plate	Well	GeneID	GeneSymbol	siRNAID
1	A01	5568	PRKACG	s224379
1	A02	2870	GRK6	s6090
1	A03	5578	PRKCA	s11092
1	A04	2872	MKNK2	s6093
1	A05	5579	PRKCB	s11095
1	A06	2931	GSK3A	s6236
1	A07	5580	PRKCD	s11098
1	A08	2932	GSK3B	s6239
1	A09	5581	PRKCE	s11101
1	A10	2987	GUK1	s6357
1	A11	5582	PRKCG	s11104
1	A12	3055	HCK	s6479
1	A13	5583	PRKCH	s11107
1	A14	3098	HK1	s6557
1	A15	5584	PRKCI	s11110
1	A16	3099	HK2	s6560
1	A17	5585	PKN1	s11113
1	A18	3101	HK3	s6563
1	A19	5586	PKN2	s11116
1	A20	3480	IGF1R	s223917
1	A21	5587	PRKD1	s11119
1	A22	3551	IKBKB	s223928
1	B01	673	BRAF	s2080
1	B02	1119	CHKA	s223211
1	B03	695	BTK	s2124
1	B04	1147	CHUK	s3076
1	B05	699	BUB1	s2130
1	B06	1152	CKB	s3082
1	B07	780	DDR1	s2298
1	B08	1158	CKM	s3094
1	B09	801	CALM1	s2340
1	B10	1159	CKMT1B	s223238
1	B11	805	CALM2	s2343
1	B12	1160	CKMT2	s3100
1	B13	808	CALM3	s2346
1	B14	1195	CLK1	s3162
1	B15	814	CAMK4	s2355
1	B16	1196	CLK2	s3165
1	B17	815	CAMK2A	s2358
1	B18	1198	CLK3	s3168
1	B19	816	CAMK2B	s2361
1	B20	1263	PLK3	s3245
1	B21	817	CAMK2D	s2364
1	B22	1326	MAP3K8	s3383
1	C01	5588	PRKCQ	s11122
1	C02	3932	LCK	s8106
1	C03	5589	PRKCSH	s11125
1	C04	3984	LIMK1	s8188
1	C05	5590	PRKCZ	s11128
1	C06	3985	LIMK2	s8191
1	C07	5592	PRKG1	s11131
1	C08	4058	LTK	s8333
1	C09	5593	PRKG2	s11134
1	C10	4067	LYN	s8355
1	C11	5594	MAPK1	s11137
1	C12	4117	MAK	s8469
1	C13	5595	MAPK3	s11140
1	C14	4139	MARK1	s8511
1	C15	5596	MAPK4	s11143
1	C16	4140	MARK3	s8514
1	C17	5597	MAPK6	s11146
1	C18	4214	MAP3K1	s8667
1	C19	5598	MAPK7	s11149
1	C20	4215	MAP3K3	s8670
1	C21	5599	MAPK8	s11152
1	C22	4216	MAP3K4	s8673
1	D01	818	CAMK2G	s224890
1	D02	1432	MAPK14	s3585
1	D03	914	CD2	s225091
1	D04	1436	CSF1R	s3594
1	D05	984	CDK11B	s2732
1	D06	1445	CSK	s223346
1	D07	1018	CDK3	s2819
1	D08	1452	CSNK1A1	s3624
1	D09	1019	CDK4	s2822
1	D10	1453	CSNK1D	s3627
1	D11	1020	CDK5	s2825
1	D12	1455	CSNK1G2	s3630
1	D13	1022	CDK7	s2828
1	D14	1456	CSNK1G3	s3633
1	D15	1024	CDK8	s2831
1	D16	1457	CSNK2A1	s3636
1	D17	1025	CDK9	s2834
1	D18	1459	CSNK2A2	s3639
1	D19	3611	ILK	s7404
1	D20	5157	PDGFRL	s10
1	D21	3643	INSR	s7477
1	D22	5891	MOK	s18
1	E01	5600	MAPK11	s11155
1	E02	4217	MAP3K5	s8676
1	E03	5601	MAPK9	s11158
1	E04	4233	MET	s8700
1	E05	5602	MAPK10	s11161
1	E06	4246	SCGB2A1	s224041
1	E07	5603	MAPK13	s11164
1	E08	4293	MAP3K9	s8805
1	E09	5604	MAP2K1	s11167
1	E10	4294	MAP3K10	s8808
1	E11	5605	MAP2K2	s11170
1	E12	4296	MAP3K11	s8814
1	E13	5606	MAP2K3	s11173
1	E14	4342	MOS	s8919
1	E15	5607	MAP2K5	s11176
1	E16	4354	MPP1	s8940
1	E17	5608	MAP2K6	s11179
1	E18	4355	MPP2	s8943
1	E19	5609	MAP2K7	s11182
1	E20	4356	MPP3	s8946
1	E21	5610	EIF2AK2	s11185
1	E22	4486	MST1R	s8996
1	F01	3645	INSRR	s7480
1	F02	7465	WEE1	s21
1	F03	3656	IRAK2	s7495
1	F04	23139	MAST2	s42
1	F05	3702	ITK	s223953
1	F06	1021	CDK6	s51
1	F07	3705	ITPK1	s7622
1	F08	1454	CSNK1E	s57
1	F09	3706	ITPKA	s7625
1	F10	10769	PLK2	s64
1	F11	3707	ITPKB	s7628
1	F12	9891	NUAK1	s88
1	F13	3716	JAK1	s7646
1	F14	5562	PRKAA1	s100
1	F15	3717	JAK2	s7649
1	F16	30849	PIK3R4	s103
1	F17	3718	JAK3	s7652
1	F18	7272	TTK	s120
1	F19	3791	KDR	s7822
1	F20	4751	NEK2	s126
1	F21	3795	KHK	s7828
1	F22	1633	DCK	s186
1	G01	5613	PRKX	s224410
1	G02	4593	MUSK	s224073
1	G03	5616	PRKY	s11197
1	G04	4598	MVK	s9096
1	G05	5631	PRPS1	s11233
1	G06	4638	MYLK	s9193
1	G07	5634	PRPS2	s11236
1	G08	4750	NEK1	s224107
1	G09	5635	PRPSAP1	s11239
1	G10	4752	NEK3	s9445
1	G11	5636	PRPSAP2	s11242
1	G12	4830	NME1	s224120
1	G13	5681	PSKH1	s11324
1	G14	4831	NME2	s9591
1	G15	5747	PTK2	s11484
1	G16	4833	NME4	s9594
1	G17	5753	PTK6	s11487
1	G18	4900	NRGN	s9723
1	G19	5754	PTK7	s11490
1	G20	4914	NTRK1	s9745
1	G21	5756	TWF1	s11493
1	G22	4915	NTRK2	s9748
1	H01	3815	KIT	s7869
1	H02	6790	AURKA	s195
1	H03	8382	NME5	s15907
1	H04	1017	CDK2	s204
1	H05	8394	PIP5K1A	s15930
1	H06	221823	PRPS1L1	s213
1	H07	8395	PIP5K1B	s15933
1	H08	23683	PRKD3	s231
1	H09	8396	PIP4K2B	s224922
1	H10	2050	EPHB4	s243
1	H11	8408	ULK1	s15963
1	H12	8767	RIPK2	s225034
1	H13	8428	STK24	s15993
1	H14	701	BUB1B	s259
1	H15	8444	DYRK3	s16024
1	H16	8558	CDK10	s262
1	H17	8445	DYRK2	s16027
1	H18	657	BMPR1A	s280
1	H19	1606	DGKA	s3911
1	H20	51447	IP6K2	s295
1	H21	1607	DGKB	s3914
1	H22	3654	IRAK1	s322
1	I01	5832	ALDH18A1	s11633
1	I02	4916	NTRK3	s9751
1	I03	5871	MAP4K2	s11687
1	I04	4919	ROR1	s9755
1	I05	5894	RAF1	s11749
1	I06	4920	ROR2	s9758
1	I07	5979	RET	s11935
1	I08	4921	DDR2	s9761
1	I09	6011	GRK1	s12025
1	I10	5058	PAK1	s10019
1	I11	6041	RNASEL	s12064
1	I12	5062	PAK2	s10022
1	I13	6093	ROCK1	s224548
1	I14	5063	PAK3	s10025
1	I15	6098	ROS1	s12112
1	I16	5108	PCM1	s10127
1	I17	6102	RP2	s12121
1	I18	5127	PCTK1	s10156
1	I19	6195	RPS6KA1	s12273
1	I20	5128	PCTK2	s10159
1	I21	6196	RPS6KA2	s12276
1	I22	5129	PCTK3	s10162
1	J01	1608	DGKG	s3917
1	J02	5230	PGK1	s373
1	J03	1609	DGKQ	s3920
1	J04	9833	MELK	s385
1	J05	1612	DAPK1	s3929
1	J06	5347	PLK1	s448
1	J07	1716	DGUOK	s4071
1	J08	983	CDC2	s463
1	J09	1760	DMPK	s223429
1	J10	203	AK1	s469
1	J11	1796	DOK1	s4236
1	J12	80347	COASY	s478
1	J13	1841	DTYMK	s4357
1	J14	1111	CHEK1	s502
1	J15	1859	DYRK1A	s4399
1	J16	7084	TK2	s519
1	J17	1969	EPHA2	s4564
1	J18	545	ATR	s534
1	J19	2011	MARK2	s4648
1	J20	8491	MAP4K3	s551
1	J21	2041	EPHA1	s223490
1	J22	1613	DAPK3	s557
1	K01	6197	RPS6KA3	s12279
1	K02	5156	PDGFRA	s10234
1	K03	6198	RPS6KB1	s12282
1	K04	5159	PDGFRB	s10240
1	K05	6199	RPS6KB2	s12285
1	K06	5163	PDK1	s10252
1	K07	6259	RYK	s12390
1	K08	5164	PDK2	s10255
1	K09	6300	MAPK12	s12467
1	K10	5165	PDK3	s10258
1	K11	6416	MAP2K4	s224602
1	K12	5166	PDK4	s10261
1	K13	6502	SKP2	s12892
1	K14	5170	PDPK1	s10273
1	K15	6714	SRC	s13412
1	K16	5211	PFKL	s10363
1	K17	6725	SRMS	s13433
1	K18	5213	PFKM	s10369
1	K19	6732	SRPK1	s224684
1	K20	5214	PFKP	s10372
1	K21	6733	SRPK2	s13453
1	K22	5218	CDK14	s10381
1	L01	2042	EPHA3	s4722
1	L02	1956	EGFR	s563
1	L03	2043	EPHA4	s223493
1	L04	9261	MAPKAPK2	s569
1	L05	2044	EPHA5	s4728
1	L06	369	ARAF	s575
1	L07	2045	EPHA7	s4731
1	L08	4145	MATK	s584
1	L09	2046	EPHA8	s4734
1	L10	2475	FRAP1	s602
1	L11	2047	EPHB1	s4737
1	L12	2064	ERBB2	s611
1	L13	2048	EPHB2	s4740
1	L14	55781	RIOK2	s224388
1	L15	2049	EPHB3	s4743
1	L16	207	AKT1	s659
1	L17	2051	EPHB6	s4746
1	L18	5297	PI4KA	s224264
1	L19	2065	ERBB3	s4778
1	L20	6446	SGK1	s740
1	L21	2066	ERBB4	s4781
1	L22	29110	TBK1	s761
1	M01	6787	NEK4	s13564
1	M02	5232	PGK2	s10403
1	M03	6788	STK3	s13567
1	M04	5260	PHKG1	s10448
1	M05	6789	STK4	s13570
1	M06	5261	PHKG2	s10451
1	M07	6792	CDKL5	s13573
1	M08	5286	PIK3C2A	s10508
1	M09	6793	STK10	s13576
1	M10	5287	PIK3C2B	s10511
1	M11	6794	STK11	s13579
1	M12	5288	PIK3C2G	s10514
1	M13	6795	AURKC	s13582
1	M14	5289	PIK3C3	s10517
1	M15	6850	SYK	s13679
1	M16	5290	PIK3CA	s10520
1	M17	6872	TAF1	s13730
1	M18	5291	PIK3CB	s10523
1	M19	6885	MAP3K7	s13766
1	M20	5292	PIM1	s10526
1	M21	7006	TEC	s13970
1	M22	5293	PIK3CD	s224263
1	N01	2185	PTK2B	s223514
1	N02	5591	PRKDC	s773
1	N03	2241	FER	s5109
1	N04	10114	HIPK3	s223083
1	N05	2242	FES	s5112
1	N06	25	ABL1	s864
1	N07	2260	FGFR1	s5164
1	N08	27	ABL2	s870
1	N09	2261	FGFR3	s5167
1	N10	90	ACVR1	s974
1	N11	2263	FGFR2	s5173
1	N12	91	ACVR1B	s977
1	N13	2264	FGFR4	s5176
1	N14	92	ACVR2A	s980
1	N15	2268	FGR	s5185
1	N16	93	ACVR2B	s983
1	N17	2321	FLT1	s5287
1	N18	94	ACVRL1	s986
1	N19	2322	FLT3	s5290
1	N20	132	ADK	s1079
1	N21	2324	FLT4	s5294
1	N22	156	ADRBK1	s1127
1	O01	7010	TEK	s224719
1	O02	5294	PIK3CG	s10532
1	O03	7016	TESK1	s13994
1	O04	5298	PI4KB	s224266
1	O05	7046	TGFBR1	s14071
1	O06	5305	PIP4K2A	s10550
1	O07	7048	TGFBR2	s14077
1	O08	5313	PKLR	s10568
1	O09	7075	TIE1	s14140
1	O10	5315	PKM2	s10574
1	O11	7083	TK1	s14158
1	O12	5361	PLXNA1	s10696
1	O13	7175	TPR	s14353
1	O14	5362	PLXNA2	s10699
1	O15	7294	TXK	s14532
1	O16	5365	PLXNB3	s10705
1	O17	7297	TYK2	s14535
1	O18	5563	PRKAA2	s11056
1	O19	7301	TYRO3	s14544
1	O20	5566	PRKACA	s11065
1	O21	7371	UCK2	s14669
1	O22	5567	PRKACB	s11068
1	P01	2444	FRK	s5363
1	P02	157	ADRBK2	s1130
1	P03	2534	FYN	s5434
1	P04	204	AK2	s1209
1	P05	2580	GAK	s5527
