row	column	probe	cell_line	rep
1	1			
1	2			
1	3			
1	4			
1	5			
1	6			
1	7			
1	8			
1	9			
1	10			
1	11			
1	12			
1	13			
1	14			
1	15			
1	16			
1	17			
1	18			
1	19			
1	20			
1	21			
1	22			
1	23			
1	24			
2	1			
2	2			
2	3			
2	4			
2	5			
2	6			
2	7			
2	8			
2	9			
2	10			
2	11			
2	12			
2	13			
2	14			
2	15			
2	16			
2	17			
2	18			
2	19			
2	20			
2	21			
2	22			
2	23			
2	24			
3	1			
3	2			
3	3	FGFR2-IIIb	CRL-1474	A
3	4	FGFR2-IIIb	CRL-1474	B
3	5	FGFR2-IIIc	CRL-1474	A
3	6	FGFR2-IIIc	CRL-1474	B
3	7	FGFR2-Full	CRL-1474	A
3	8	FGFR2-Full	CRL-1474	B
3	9	All	CRL-1474	A
3	10	All	CRL-1474	B
3	11	None	CRL-1474	A
3	12	None	CRL-1474	B
3	13			
3	14			
3	15			
3	16			
3	17			
3	18			
3	19			
3	20			
3	21			
3	22			
3	23			
3	24			
4	1			
4	2			
4	3	FGFR2-IIIb	CRL-1474	C
4	4	FGFR2-IIIb	CRL-1474	D
4	5	FGFR2-IIIc	CRL-1474	C
4	6	FGFR2-IIIc	CRL-1474	D
4	7	FGFR2-Full	CRL-1474	C
4	8	FGFR2-Full	CRL-1474	D
4	9	All	CRL-1474	C
4	10	All	CRL-1474	D
4	11	None	CRL-1474	C
4	12	None	CRL-1474	D
4	13			
4	14			
4	15			
4	16			
4	17			
4	18			
4	19			
4	20			
4	21			
4	22			
4	23			
4	24			
5	1			
5	2			
5	3	FGFR2-IIIb	MCF10T	A
5	4	FGFR2-IIIb	MCF10T	B
5	5	FGFR2-IIIc	MCF10T	A
5	6	FGFR2-IIIc	MCF10T	B
5	7	FGFR2-Full	MCF10T	A
5	8	FGFR2-Full	MCF10T	B
5	9	All	MCF10T	A
5	10	All	MCF10T	B
5	11	None	MCF10T	A
5	12	None	MCF10T	B
5	13			
5	14			
5	15			
5	16			
5	17			
5	18			
5	19			
5	20			
5	21			
5	22			
5	23			
5	24			
6	1			
6	2			
6	3	FGFR2-IIIb	MCF10T	C
6	4	FGFR2-IIIb	MCF10T	D
6	5	FGFR2-IIIc	MCF10T	C
6	6	FGFR2-IIIc	MCF10T	D
6	7	FGFR2-Full	MCF10T	C
6	8	FGFR2-Full	MCF10T	D
6	9	All	MCF10T	C
6	10	All	MCF10T	D
6	11	None	MCF10T	C
6	12	None	MCF10T	D
6	13			
6	14			
6	15			
6	16			
6	17			
6	18			
6	19			
6	20			
6	21			
6	22			
6	23			
6	24			
7	1			
7	2			
7	3	FGFR2-IIIb	MCF10A	A
7	4	FGFR2-IIIb	MCF10A	B
7	5	FGFR2-IIIc	MCF10A	A
7	6	FGFR2-IIIc	MCF10A	B
7	7	FGFR2-Full	MCF10A	A
7	8	FGFR2-Full	MCF10A	B
7	9	All	MCF10A	A
7	10	All	MCF10A	B
7	11	None	MCF10A	A
7	12	None	MCF10A	B
7	13			
7	14			
7	15			
7	16			
7	17			
7	18			
7	19			
7	20			
7	21			
7	22			
7	23			
7	24			
8	1			
8	2			
8	3	FGFR2-IIIb	MCF10A	C
8	4	FGFR2-IIIb	MCF10A	D
8	5	FGFR2-IIIc	MCF10A	C
8	6	FGFR2-IIIc	MCF10A	D
8	7	FGFR2-Full	MCF10A	C
8	8	FGFR2-Full	MCF10A	D
8	9	All	MCF10A	C
8	10	All	MCF10A	D
8	11	None	MCF10A	C
8	12	None	MCF10A	D
8	13			
8	14			
8	15			
8	16			
8	17			
8	18			
8	19			
8	20			
8	21			
8	22			
8	23			
8	24			
9	1			
9	2			
9	3	FGFR2-IIIb	AN3 CA	A
9	4	FGFR2-IIIb	AN3 CA	B
9	5	FGFR2-IIIc	AN3 CA	A
9	6	FGFR2-IIIc	AN3 CA	B
9	7	FGFR2-Full	AN3 CA	A
9	8	FGFR2-Full	AN3 CA	B
9	9	All	AN3 CA	A
9	10	All	AN3 CA	B
9	11	None	AN3 CA	A
9	12	None	AN3 CA	B
9	13			
9	14			
9	15			
9	16			
9	17			
9	18			
9	19			
9	20			
9	21			
9	22			
9	23			
9	24			
10	1			
10	2			
10	3	FGFR2-IIIb	AN3 CA	C
10	4	FGFR2-IIIb	AN3 CA	D
10	5	FGFR2-IIIc	AN3 CA	C
10	6	FGFR2-IIIc	AN3 CA	D
10	7	FGFR2-Full	AN3 CA	C
10	8	FGFR2-Full	AN3 CA	D
10	9	All	AN3 CA	C
10	10	All	AN3 CA	D
10	11	None	AN3 CA	C
10	12	None	AN3 CA	D
10	13			
10	14			
10	15			
10	16			
10	17			
10	18			
10	19			
10	20			
10	21			
10	22			
10	23			
10	24			
11	1			
11	2			
11	3	FGFR2-IIIb	MCF7	A
11	4	FGFR2-IIIb	MCF7	B
11	5	FGFR2-IIIc	MCF7	A
11	6	FGFR2-IIIc	MCF7	B
11	7	FGFR2-Full	MCF7	A
11	8	FGFR2-Full	MCF7	B
11	9	All	MCF7	A
11	10	All	MCF7	B
11	11	None	MCF7	A
11	12	None	MCF7	B
11	13			
11	14			
11	15			
11	16			
11	17			
11	18			
11	19			
11	20			
11	21			
11	22			
11	23			
11	24			
12	1			
12	2			
12	3	FGFR2-IIIb	MCF7	C
12	4	FGFR2-IIIb	MCF7	D
12	5	FGFR2-IIIc	MCF7	C
12	6	FGFR2-IIIc	MCF7	D
12	7	FGFR2-Full	MCF7	C
12	8	FGFR2-Full	MCF7	D
12	9	All	MCF7	C
12	10	All	MCF7	D
12	11	None	MCF7	C
12	12	None	MCF7	D
12	13			
12	14			
12	15			
12	16			
12	17			
12	18			
12	19			
12	20			
12	21			
12	22			
12	23			
12	24			
13	1			
13	2			
13	3	FGFR2-IIIb	T-47D	A
13	4	FGFR2-IIIb	T-47D	B
13	5	FGFR2-IIIc	T-47D	A
13	6	FGFR2-IIIc	T-47D	B
13	7	FGFR2-Full	T-47D	A
13	8	FGFR2-Full	T-47D	B
13	9	All	T-47D	A
13	10	All	T-47D	B
13	11	None	T-47D	A
13	12	None	T-47D	B
13	13			
13	14			
13	15			
13	16			
13	17			
13	18			
13	19			
13	20			
13	21			
13	22			
13	23			
13	24			
14	1			
14	2			
14	3	FGFR2-IIIb	T-47D	C
14	4	FGFR2-IIIb	T-47D	D
14	5	FGFR2-IIIc	T-47D	C
14	6	FGFR2-IIIc	T-47D	D
14	7	FGFR2-Full	T-47D	C
14	8	FGFR2-Full	T-47D	D
14	9	All	T-47D	C
14	10	All	T-47D	D
14	11	None	T-47D	C
14	12	None	T-47D	D
14	13			
14	14			
14	15			
14	16			
14	17			
14	18			
14	19			
14	20			
14	21			
14	22			
14	23			
14	24			
15	1			
15	2			
15	3			
15	4			
15	5			
15	6			
15	7			
15	8			
15	9			
15	10			
15	11			
15	12			
15	13			
15	14			
15	15			
15	16			
15	17			
15	18			
15	19			
15	20			
15	21			
15	22			
15	23			
15	24			
16	1			
16	2			
16	3			
16	4			
16	5			
16	6			
16	7			
16	8			
16	9			
16	10			
16	11			
16	12			
16	13			
16	14			
16	15			
16	16			
16	17			
16	18			
16	19			
16	20			
16	21			
16	22			
16	23			
16	24			
