row	column	probe	cell_line	rep
1	1			
1	2			
1	3			
1	4			
1	5			
1	6			
1	7			
1	8			
1	9			
1	10			
1	11			
1	12			
1	13			
1	14			
1	15			
1	16			
1	17			
1	18			
1	19			
1	20			
1	21			
1	22			
1	23			
1	24			
2	1			
2	2			
2	3			
2	4			
2	5			
2	6			
2	7			
2	8			
2	9			
2	10			
2	11			
2	12			
2	13			
2	14			
2	15			
2	16			
2	17			
2	18			
2	19			
2	20			
2	21			
2	22			
2	23			
2	24			
3	1			
3	2			
3	3			
3	4			
3	5			
3	6			
3	7			
3	8			
3	9			
3	10			
3	11			
3	12			
3	13			
3	14			
3	15			
3	16			
3	17			
3	18			
3	19			
3	20			
3	21			
3	22			
3	23			
3	24			
4	1			
4	2			
4	3			
4	4			
4	5			
4	6			
4	7			
4	8			
4	9			
4	10			
4	11			
4	12			
4	13			
4	14			
4	15			
4	16			
4	17			
4	18			
4	19			
4	20			
4	21			
4	22			
4	23			
4	24			
5	1			
5	2			
5	3			
5	4			
5	5			
5	6			
5	7			
5	8			
5	9			
5	10			
5	11			
5	12			
5	13			
5	14			
5	15			
5	16			
5	17			
5	18			
5	19			
5	20			
5	21			
5	22			
5	23			
5	24			
6	1			
6	2			
6	3			
6	4			
6	5			
6	6			
6	7			
6	8			
6	9			
6	10			
6	11			
6	12			
6	13			
6	14			
6	15			
6	16			
6	17			
6	18			
6	19			
6	20			
6	21			
6	22			
6	23			
6	24			
7	1			
7	2			
7	3			
7	4			
7	5			
7	6			
7	7			
7	8			
7	9			
7	10			
7	11			
7	12			
7	13			
7	14			
7	15			
7	16			
7	17			
7	18			
7	19			
7	20			
7	21			
7	22			
7	23			
7	24			
8	1			
8	2			
8	3			
8	4			
8	5			
8	6			
8	7			
8	8			
8	9			
8	10			
8	11			
8	12			
8	13			
8	14			
8	15			
8	16			
8	17			
8	18			
8	19			
8	20			
8	21			
8	22			
8	23			
8	24			
9	1			
9	2			
9	3			
9	4			
9	5			
9	6			
9	7			
9	8			
9	9			
9	10			
9	11	None	U2OS FGFR2-IIIc	A
9	12	None	U2OS FGFR2-IIIc	B
9	13	None	U2OS FGFR2-IIIc	C
9	14	None	U2OS FGFR2-IIIb	A
9	15	None	U2OS FGFR2-IIIb	B
9	16	None	U2OS FGFR2-IIIb	C
9	17	None	U2OS EV	A
9	18	None	U2OS EV	B
9	19	None	U2OS EV	C
9	20	None	MCF7	A
9	21	None	MCF7	B
9	22	None	MCF7	C
9	23			
9	24			
10	1			
10	2			
10	3			
10	4			
10	5			
10	6			
10	7			
10	8			
10	9			
10	10			
10	11	FGFR2-IIIb	U2OS FGFR2-IIIc	A
10	12	FGFR2-IIIb	U2OS FGFR2-IIIc	B
10	13	FGFR2-IIIb	U2OS FGFR2-IIIc	C
10	14	FGFR2-IIIb	U2OS FGFR2-IIIb	A
10	15	FGFR2-IIIb	U2OS FGFR2-IIIb	B
10	16	FGFR2-IIIb	U2OS FGFR2-IIIb	C
10	17	FGFR2-IIIb	U2OS EV	A
10	18	FGFR2-IIIb	U2OS EV	B
10	19	FGFR2-IIIb	U2OS EV	C
10	20	FGFR2-IIIb	MCF7	A
10	21	FGFR2-IIIb	MCF7	B
10	22	FGFR2-IIIb	MCF7	C
10	23			
10	24			
11	1			
11	2			
11	3			
11	4			
11	5			
11	6			
11	7			
11	8			
11	9			
11	10			
11	11	PGK1	U2OS FGFR2-IIIc	A
11	12	PGK1	U2OS FGFR2-IIIc	B
11	13	PGK1	U2OS FGFR2-IIIc	C
11	14	PGK1	U2OS FGFR2-IIIb	A
11	15	PGK1	U2OS FGFR2-IIIb	B
11	16	PGK1	U2OS FGFR2-IIIb	C
11	17	PGK1	U2OS EV	A
11	18	PGK1	U2OS EV	B
11	19	PGK1	U2OS EV	C
11	20	PGK1	MCF7	A
11	21	PGK1	MCF7	B
11	22	PGK1	MCF7	C
11	23			
11	24			
12	1			
12	2			
12	3			
12	4			
12	5			
12	6			
12	7			
12	8			
12	9			
12	10			
12	11	FGFR2-D7-10	U2OS FGFR2-IIIc	A
12	12	FGFR2-D7-10	U2OS FGFR2-IIIc	B
12	13	FGFR2-D7-10	U2OS FGFR2-IIIc	C
12	14	FGFR2-D7-10	U2OS FGFR2-IIIb	A
12	15	FGFR2-D7-10	U2OS FGFR2-IIIb	B
12	16	FGFR2-D7-10	U2OS FGFR2-IIIb	C
12	17	FGFR2-D7-10	U2OS EV	A
12	18	FGFR2-D7-10	U2OS EV	B
12	19	FGFR2-D7-10	U2OS EV	C
12	20	FGFR2-D7-10	MCF7	A
12	21	FGFR2-D7-10	MCF7	B
12	22	FGFR2-D7-10	MCF7	C
12	23			
12	24			
13	1			
13	2			
13	3			
13	4			
13	5			
13	6			
13	7			
13	8			
13	9			
13	10			
13	11	All	U2OS FGFR2-IIIc	A
13	12	All	U2OS FGFR2-IIIc	B
13	13	All	U2OS FGFR2-IIIc	C
13	14	All	U2OS FGFR2-IIIb	A
13	15	All	U2OS FGFR2-IIIb	B
13	16	All	U2OS FGFR2-IIIb	C
13	17	All	U2OS EV	A
13	18	All	U2OS EV	B
13	19	All	U2OS EV	C
13	20	All	MCF7	A
13	21	All	MCF7	B
13	22	All	MCF7	C
13	23			
13	24			
14	1			
14	2			
14	3			
14	4			
14	5			
14	6			
14	7			
14	8			
14	9			
14	10			
14	11	FGFR2	U2OS FGFR2-IIIc	A
14	12	FGFR2	U2OS FGFR2-IIIc	B
14	13	FGFR2	U2OS FGFR2-IIIc	C
14	14	FGFR2	U2OS FGFR2-IIIb	A
14	15	FGFR2	U2OS FGFR2-IIIb	B
14	16	FGFR2	U2OS FGFR2-IIIb	C
14	17	FGFR2	U2OS EV	A
14	18	FGFR2	U2OS EV	B
14	19	FGFR2	U2OS EV	C
14	20	FGFR2	MCF7	A
14	21	FGFR2	MCF7	B
14	22	FGFR2	MCF7	C
14	23			
14	24			
15	1			
15	2			
15	3			
15	4			
15	5			
15	6			
15	7			
15	8			
15	9			
15	10			
15	11			
15	12			
15	13			
15	14			
15	15			
15	16			
15	17			
15	18			
15	19			
15	20			
15	21			
15	22			
15	23			
15	24			
16	1			
16	2			
16	3			
16	4			
16	5			
16	6			
16	7			
16	8			
16	9			
16	10			
16	11			
16	12			
16	13			
16	14			
16	15			
16	16			
16	17			
16	18			
16	19			
16	20			
16	21			
16	22			
16	23			
16	24			
